5,Peanuts,22,25,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 25.0, ""750gm"": 18.75, ""500gm"": 12.5, ""250gm"": 6.25}",Groceries,28,0,2025-11-11 18:50:16.000
6,Poha,341,435,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 435.0, ""750gm"": 326.25, ""500gm"": 217.5, ""250gm"": 108.75}",Groceries,86,0,2025-11-11 18:28:48.000
7,Tur Dal,24,27,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 27.0, ""750gm"": 20.25, ""500gm"": 13.5, ""250gm"": 6.75}",Groceries,50,0,2025-11-11 18:01:48.000
8,Almonds,361,448,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 448.0, ""750gm"": 336.0, ""500gm"": 224.0, ""250gm"": 112.0}",Groceries,42,0,2025-11-11 18:30:39.000
9,Sesame Oil,407,448,ltr,"[""1ltr"",""750ml"",""500ml"",""250ml""]","{""1ltr"": 448.0, ""750ml"": 336.0, ""500ml"": 224.0, ""250ml"": 112.0}",Groceries,80,0,2025-11-11 18:47:39.000
10,Mustard Seeds,344,418,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 418.0, ""750gm"": 313.5, ""500gm"": 209.0, ""250gm"": 104.5}",Groceries,25,0,2025-11-11 18:00:31.000
11,Sona Masoori ,446,560,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 560.0, ""750gm"": 420.0, ""500gm"": 280.0, ""250gm"": 140.0}",Groceries,65,0,2025-11-11 18:59:59.000
12,Clinic Plus Shampoo,19,22,pcs,,,Groceries,16,0,2025-11-11 18:16:25.000
13,Basmati Rice no 1,221,249,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 249.0, ""750gm"": 186.75, ""500gm"": 124.5, ""250gm"": 62.25}",Groceries,75,0,2025-11-11 18:23:19.000
14,Pasta spring,33,38,pcs,,,Groceries,68,0,2025-11-11 18:37:49.000
15,KitKat bar,10,12,pcs,,,Groceries,37,0,2025-11-11 18:25:14.000
16,Turmeric Powder,473,586,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 586.0, ""750gm"": 439.5, ""500gm"": 293.0, ""250gm"": 146.5}",Groceries,50,0,2025-11-11 18:54:30.000
17,Bingo choclate,43,54,pcs,,,Groceries,20,0,2025-11-11 18:39:54.000
18,Skimmed Milk,22,25,ltr,"[""1ltr"",""750ml"",""500ml"",""250ml""]","{""1ltr"": 25.0, ""750ml"": 18.75, ""500ml"": 12.5, ""250ml"": 6.25}",Dairy,40,0,2025-11-11 18:51:15.000
19,Jam,32,39,pcs,,,Groceries,64,0,2025-11-11 18:00:14.000
20,Basmati Rice,80,98,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 98.0, ""750gm"": 73.5, ""500gm"": 49.0, ""250gm"": 24.5}",Groceries,21,0,2025-11-11 18:08:25.000
21,Lays Classic,36,41,pcs,,,Groceries,95,0,2025-11-11 18:14:21.000
22,Poha Mota,158,205,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 205.0, ""750gm"": 153.75, ""500gm"": 102.5, ""250gm"": 51.25}",Groceries,32,0,2025-11-11 18:12:44.000
23,Vinegar,179,204,ltr,"[""1ltr"",""750ml"",""500ml"",""250ml""]","{""1ltr"": 204.0, ""750ml"": 153.0, ""500ml"": 102.0, ""250ml"": 51.0}",Groceries,27,0,2025-11-11 18:30:00.000
24,Peanuts No 1,221,245,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 245.0, ""750gm"": 183.75, ""500gm"": 122.5, ""250gm"": 61.25}",Groceries,38,0,2025-11-11 18:14:55.000
25,Kishmish,151,192,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 192.0, ""750gm"": 144.0, ""500gm"": 96.0, ""250gm"": 48.0}",Groceries,66,0,2025-11-11 18:31:39.000
26,Green Peas,108,132,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 132.0, ""750gm"": 99.0, ""500gm"": 66.0, ""250gm"": 33.0}",Groceries,70,0,2025-11-11 18:14:23.000
27,Maida soft,371,476,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 476.0, ""750gm"": 357.0, ""500gm"": 238.0, ""250gm"": 119.0}",Groceries,65,0,2025-11-11 18:52:47.000
28,Parle-G,38,48,pcs,,,Groceries,16,0,2025-11-11 18:42:38.000
29,Buttermilk no 1,46,60,ltr,"[""1ltr"",""500ml""]","{""1ltr"": 60.0, ""500ml"": 30.0}",Dairy,70,0,2025-11-11 18:40:36.000
30,Soy Sauce no 1,489,601,ltr,"[""1ltr"",""750ml"",""500ml"",""250ml""]","{""1ltr"": 601.0, ""750ml"": 450.75, ""500ml"": 300.5, ""250ml"": 150.25}",Groceries,25,0,2025-11-11 18:07:26.000
31,Coriander Seeds,35,42,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 42.0, ""750gm"": 31.5, ""500gm"": 21.0, ""250gm"": 10.5}",Groceries,31,0,2025-11-11 18:17:23.000
32,Walnuts no 1,423,504,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 504.0, ""750gm"": 378.0, ""500gm"": 252.0, ""250gm"": 126.0}",Groceries,18,0,2025-11-11 18:07:08.000
33,KitKat choclate,45,55,pcs,,,Groceries,90,0,2025-11-11 18:12:12.000
34,Groundnut Oil no 1,127,161,ltr,"[""1ltr"",""750ml"",""500ml"",""250ml""]","{""1ltr"": 161.0, ""750ml"": 120.75, ""500ml"": 80.5, ""250ml"": 40.25}",Groceries,53,0,2025-11-11 18:41:22.000
35,Snickers,26,31,pcs,,,Groceries,47,0,2025-11-11 18:53:47.000
36,Badam Milkshake,474,548,ltr,"[""1ltr"",""750ml"",""500ml"",""250ml""]","{""1ltr"": 548.0, ""750ml"": 411.0, ""500ml"": 274.0, ""250ml"": 137.0}",Dairy,61,0,2025-11-11 18:12:26.000
37,Sugar,302,340,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 340.0, ""750gm"": 255.0, ""500gm"": 170.0, ""250gm"": 85.0}",Groceries,15,0,2025-11-11 18:09:31.000
38,HMT Rice,137,171,kgs,"[""1kg"",""750gm"",""500gm"",""250gm""]","{""1kg"": 171.0, ""750gm"": 128.25, ""500gm"": 85.5, ""250gm"": 42.75}",Groceries,49,0,2025-11-11 18:55:19.000
39,flower Oil,35,43,ltr,"[""1ltr"",""750ml"",""500ml"",""250ml""]","{""1ltr"": 43.0, ""750ml"": 32.25, ""500ml"": 21.5, ""250ml"": 10.75}",Groceries,23,0,2025-11-11 18:06:29.000
40,Milk,321,370,ltr,"[""1ltr"",""750ml"",""500ml"",""250ml""]","{""1ltr"": 370.0, ""750ml"": 277.5, ""500ml"": 185.0, ""250ml"": 92.5}",Dairy,37,0,2025-11-11 18:42:33.000
41,Asli Ghee,40,49,ltr,"[""1ltr"",""500ml""]","{""1ltr"": 49.0, ""500ml"": 24.5}",Groceries,61,0,2025-11-11 18:07:48.000
